IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
13.125.218.78	443	TRUE	ICN	Asia Pacific	Seoul	65 ms	23.6
152.69.219.32	443	TRUE	SIN	Asia Pacific	Singapore	99 ms	17.8
54.151.242.175	8443	TRUE	SIN	Asia Pacific	Singapore	96 ms	12.23
158.178.192.221	443	TRUE	CDG	Europe	Paris	227 ms	7.91
43.156.253.94	443	TRUE	SIN	Asia Pacific	Singapore	231 ms	7.44
158.178.196.15	2053	TRUE	CDG	Europe	Paris	237 ms	7.31
13.37.224.156	2053	TRUE	CDG	Europe	Paris	263 ms	6.34
13.37.224.156	8443	TRUE	CDG	Europe	Paris	265 ms	6.33
132.145.81.117	443	TRUE	ICN	Asia Pacific	Seoul	60 ms	5.69
158.180.88.1	34237	TRUE	ICN	Asia Pacific	Seoul	98 ms	5.13
158.178.206.197	2053	TRUE	CDG	Europe	Paris	226 ms	4.71
158.178.206.197	8443	TRUE	CDG	Europe	Paris	239 ms	4.26
8.217.45.219	42291	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	4.15
89.168.43.31	2053	TRUE	CDG	Europe	Paris	214 ms	3.47
89.168.43.31	8443	TRUE	CDG	Europe	Paris	236 ms	2.87
13.51.48.84	2096	TRUE	ARN	Europe	Stockholm	207 ms	2964 kB/s
18.168.254.65	8443	TRUE	LHR	Europe	London	191 ms	2956 kB/s
54.233.182.187	443	TRUE	GRU	South America	São Paulo	355 ms	2932 kB/s
13.43.173.97	8443	TRUE	LHR	Europe	London	186 ms	2924 kB/s
13.40.87.247	443	TRUE	LHR	Europe	London	198 ms	2678 kB/s
35.177.209.223	443	TRUE	LHR	Europe	London	206 ms	2628 kB/s
3.18.225.231	443	TRUE	ORD	North America	Chicago	220 ms	2559 kB/s
13.51.173.26	8443	TRUE	WAW	Europe	Warsaw	201 ms	2521 kB/s
18.130.249.35	2096	TRUE	LHR	Europe	London	205 ms	2359 kB/s
13.42.158.50	8443	TRUE	LHR	Europe	London	195 ms	2329 kB/s
16.16.64.83	8443	TRUE	WAW	Europe	Warsaw	208 ms	2246 kB/s
13.60.79.248	443	TRUE	ARN	Europe	Stockholm	209 ms	2140 kB/s
13.48.245.19	443	TRUE	ARN	Europe	Stockholm	197 ms	2019 kB/s
18.167.20.205	443	TRUE	HKG	Asia Pacific	Hong Kong	139 ms	1926 kB/s
34.253.212.104	8081	TRUE	DUB	Europe	Dublin	222 ms	1861 kB/s
13.250.131.37	443	TRUE	SIN	Asia Pacific	Singapore	99 ms	1730 kB/s
13.51.55.31	443	TRUE	ARN	Europe	Stockholm	205 ms	963 kB/s
15.228.157.181	443	TRUE	GIG	South America	Rio de Janeiro	368 ms	844 kB/s
52.74.101.26	443	TRUE	SIN	Asia Pacific	Singapore	102 ms	636 kB/s
13.51.132.60	443	TRUE	OSL	Europe	Oslo	206 ms	400 kB/s
13.40.87.247	8080	TRUE	LHR	Europe	London	201 ms	387 kB/s
18.184.55.249	443	TRUE	FRA	Europe	Frankfurt	175 ms	243 kB/s
13.38.100.139	8443	TRUE	CDG	Europe	Paris	188 ms	157 kB/s
54.229.195.253	8443	TRUE	DUB	Europe	Dublin	213 ms	153 kB/s
13.53.126.251	8443	TRUE	ARN	Europe	Stockholm	201 ms	134 kB/s
13.53.206.75	443	TRUE	CPH	Europe	Copenhagen	202 ms	131 kB/s
13.60.4.148	8443	TRUE	ARN	Europe	Stockholm	202 ms	128 kB/s
18.192.113.68	8443	TRUE	FRA	Europe	Frankfurt	175 ms	118 kB/s
3.120.8.31	443	TRUE	FRA	Europe	Frankfurt	178 ms	83 kB/s
13.60.4.148	2053	TRUE	OSL	Europe	Oslo	205 ms	77 kB/s
3.70.219.196	443	TRUE	FRA	Europe	Frankfurt	191 ms	54 kB/s
54.194.162.247	443	TRUE	DUB	Europe	Dublin	218 ms	51 kB/s
13.42.76.114	8443	TRUE	LHR	Europe	London	193 ms	42 kB/s
3.65.21.45	443	TRUE	FRA	Europe	Frankfurt	189 ms	36 kB/s
18.194.183.74	2053	TRUE	FRA	Europe	Frankfurt	182 ms	32 kB/s
52.213.11.150	443	TRUE	DUB	Europe	Dublin	193 ms	22 kB/s
52.9.112.189	443	TRUE	SJC	North America	San Jose	177 ms	0 kB/s
54.150.91.84	443	TRUE	NRT	Asia Pacific	Tokyo	67 ms	0 kB/s
13.125.218.78	443	TRUE	ICN	Asia Pacific	Seoul	99 ms	0 kB/s
3.123.255.167	443	TRUE	FRA	Europe	Frankfurt	178 ms	0 kB/s
15.236.136.125	2087	TRUE	CDG	Europe	Paris	198 ms	0 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
13.230.34.30	80	FALSE	NRT	Asia Pacific	Tokyo	72 ms	18119 kB/s
52.57.229.96	80	FALSE	FRA	Europe	Frankfurt	185 ms	8302 kB/s
13.124.44.168	80	FALSE	ICN	Asia Pacific	Seoul	103 ms	7453 kB/s
54.233.145.43	80	FALSE	GIG	South America	Rio de Janeiro	354 ms	350 kB/s
13.126.254.121	80	FALSE	BOM	Asia Pacific	Mumbai	316 ms	203 kB/s
54.194.162.247	80	FALSE	DUB	Europe	Dublin	197 ms	178 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
54.179.184.9	443	TRUE	SIN	Asia Pacific	Singapore	106 ms	15910 kB/s
15.165.49.161	8080	TRUE	ICN	Asia Pacific	Seoul	94 ms	12127 kB/s
18.167.20.205	443	TRUE	HKG	Asia Pacific	Hong Kong	128 ms	11764 kB/s
13.250.131.37	443	TRUE	SIN	Asia Pacific	Singapore	105 ms	11579 kB/s
54.150.91.84	443	TRUE	NRT	Asia Pacific	Tokyo	75 ms	10225 kB/s
3.120.144.20	8080	TRUE	FRA	Europe	Frankfurt	180 ms	8904 kB/s
3.123.255.167	443	TRUE	FRA	Europe	Frankfurt	186 ms	7682 kB/s
13.60.79.248	443	TRUE	ARN	Europe	Stockholm	212 ms	7307 kB/s
18.167.208.181	443	TRUE	HKG	Asia Pacific	Hong Kong	147 ms	7274 kB/s
13.38.53.164	8443	TRUE	CDG	Europe	Paris	196 ms	7175 kB/s
13.51.55.31	443	TRUE	ARN	Europe	Stockholm	205 ms	6934 kB/s
3.65.21.45	443	TRUE	FRA	Europe	Frankfurt	184 ms	6309 kB/s
3.18.225.231	443	TRUE	ORD	North America	Chicago	233 ms	6215 kB/s
13.60.91.143	443	TRUE	ARN	Europe	Stockholm	195 ms	6078 kB/s
3.15.147.151	2083	TRUE	ORD	North America	Chicago	225 ms	5701 kB/s
16.16.64.83	8443	TRUE	WAW	Europe	Warsaw	216 ms	5500 kB/s
13.51.48.84	2096	TRUE	ARN	Europe	Stockholm	207 ms	4898 kB/s
18.198.4.243	8443	TRUE	FRA	Europe	Frankfurt	185 ms	4668 kB/s
18.168.254.65	8443	TRUE	LHR	Europe	London	193 ms	4390 kB/s
13.51.173.26	8443	TRUE	WAW	Europe	Warsaw	197 ms	4185 kB/s
13.43.173.97	8443	TRUE	LHR	Europe	London	216 ms	3605 kB/s
13.48.245.19	443	TRUE	ARN	Europe	Stockholm	201 ms	3512 kB/s
34.253.212.104	8081	TRUE	DUB	Europe	Dublin	212 ms	3160 kB/s
52.212.168.5	8443	TRUE	DUB	Europe	Dublin	206 ms	3026 kB/s
18.167.194.154	443	TRUE	HKG	Asia Pacific	Hong Kong	134 ms	2933 kB/s
13.36.230.17	8443	TRUE	CDG	Europe	Paris	202 ms	2712 kB/s
13.42.158.50	8443	TRUE	LHR	Europe	London	221 ms	2638 kB/s
13.40.87.247	8080	TRUE	LHR	Europe	London	196 ms	2588 kB/s
35.177.209.223	443	TRUE	LHR	Europe	London	194 ms	2393 kB/s
15.236.136.125	2087	TRUE	CDG	Europe	Paris	192 ms	2298 kB/s
54.233.182.187	443	TRUE	GIG	South America	Rio de Janeiro	342 ms	2165 kB/s
52.213.11.150	443	TRUE	DUB	Europe	Dublin	210 ms	1404 kB/s
54.249.173.119	443	TRUE	NRT	Asia Pacific	Tokyo	101 ms	1081 kB/s
54.200.244.93	443	TRUE	SEA	North America	Seattle	194 ms	966 kB/s
13.53.206.75	443	TRUE	CPH	Europe	Copenhagen	198 ms	895 kB/s
13.42.76.114	8443	TRUE	LHR	Europe	London	209 ms	777 kB/s
3.144.191.4	443	TRUE	ORD	North America	Chicago	227 ms	771 kB/s
52.74.101.26	443	TRUE	SIN	Asia Pacific	Singapore	110 ms	637 kB/s
54.194.162.247	443	TRUE	DUB	Europe	Dublin	200 ms	636 kB/s
99.83.209.185	443	TRUE	IAD	North America	Ashburn	169 ms	605 kB/s
13.38.100.139	8443	TRUE	CDG	Europe	Paris	200 ms	507 kB/s
13.60.4.148	2053	TRUE	OSL	Europe	Oslo	202 ms	377 kB/s
52.9.112.189	443	TRUE	SJC	North America	San Jose	177 ms	214 kB/s
3.120.8.31	443	TRUE	FRA	Europe	Frankfurt	187 ms	179 kB/s
54.229.195.253	8443	TRUE	DUB	Europe	Dublin	207 ms	150 kB/s
15.228.157.181	443	TRUE	GRU	South America	São Paulo	374 ms	150 kB/s
18.192.113.68	8443	TRUE	FRA	Europe	Frankfurt	187 ms	112 kB/s
13.53.126.251	8443	TRUE	ARN	Europe	Stockholm	199 ms	105 kB/s
13.51.132.60	443	TRUE	OSL	Europe	Oslo	214 ms	86 kB/s
18.216.55.100	443	TRUE	ORD	North America	Chicago	232 ms	57 kB/s
18.194.183.74	2053	TRUE	FRA	Europe	Frankfurt	183 ms	54 kB/s
3.70.219.196	443	TRUE	FRA	Europe	Frankfurt	181 ms	51 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
13.230.34.30	80	FALSE	NRT	Asia Pacific	Tokyo	67 ms	6455 kB/s
52.57.229.96	80	FALSE	FRA	Europe	Frankfurt	191 ms	2868 kB/s
13.124.44.168	80	FALSE	ICN	Asia Pacific	Seoul	100 ms	1990 kB/s
54.233.145.43	80	FALSE	GIG	South America	Rio de Janeiro	341 ms	1711 kB/s
13.126.254.121	80	FALSE	BOM	Asia Pacific	Mumbai	302 ms	100 kB/s
54.194.162.247	80	FALSE	DUB	Europe	Dublin	202 ms	41 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
64.110.88.46	443	TRUE	ICN	Asia Pacific	Seoul	75 ms	21232 kB/s
192.9.246.112	8443	TRUE	SJC	North America	San Jose	196 ms	8522 kB/s
192.18.140.32	443	TRUE	SJC	North America	San Jose	179 ms	7451 kB/s
152.70.155.147	2083	TRUE	LAX	North America	Los Angeles	252 ms	7320 kB/s
150.230.47.17	443	TRUE	SJC	North America	San Jose	178 ms	7135 kB/s
152.70.155.147	8443	TRUE	LAX	North America	Los Angeles	255 ms	5884 kB/s
152.70.155.147	2053	TRUE	LAX	North America	Los Angeles	260 ms	5567 kB/s
152.70.155.147	2087	TRUE	LAX	North America	Los Angeles	251 ms	5560 kB/s
143.47.184.46	443	TRUE	FRA	Europe	Frankfurt	271 ms	5173 kB/s
152.70.235.207	443	TRUE	NRT	Asia Pacific	Tokyo	76 ms	5160 kB/s
34.91.155.132	443	TRUE	FRA	Europe	Frankfurt	260 ms	5080 kB/s
152.70.155.147	2096	TRUE	LAX	North America	Los Angeles	251 ms	5043 kB/s
129.159.47.255	443	TRUE	SJC	North America	San Jose	174 ms	4832 kB/s
34.32.224.139	443	TRUE	FRA	Europe	Frankfurt	259 ms	4464 kB/s
152.70.234.188	443	TRUE	NRT	Asia Pacific	Tokyo	76 ms	4447 kB/s
84.8.148.235	8443	TRUE	LHR	Europe	London	252 ms	4423 kB/s
34.159.248.147	443	TRUE	FRA	Europe	Frankfurt	240 ms	4395 kB/s
34.147.125.86	443	TRUE	FRA	Europe	Frankfurt	238 ms	4382 kB/s
164.152.26.70	2086	TRUE	ORD	North America	Chicago	247 ms	4027 kB/s
132.145.54.84	2053	TRUE	LHR	Europe	London	239 ms	4025 kB/s
155.248.196.123	443	TRUE	YVR	North America	Vancouver	186 ms	3723 kB/s
129.146.46.164	443	TRUE	LAX	North America	Los Angeles	266 ms	3378 kB/s
141.145.205.115	8443	TRUE	CDG	Europe	Paris	243 ms	3279 kB/s
34.89.241.178	443	TRUE	FRA	Europe	Frankfurt	244 ms	3250 kB/s
158.101.11.22	8443	TRUE	LAX	North America	Los Angeles	253 ms	3222 kB/s
158.101.98.60	2095	TRUE	IAD	North America	Ashburn	246 ms	2946 kB/s
150.230.122.76	443	TRUE	LHR	Europe	London	252 ms	2869 kB/s
152.70.148.46	2053	TRUE	LAX	North America	Los Angeles	238 ms	2855 kB/s
34.116.189.137	443	TRUE	FRA	Europe	Frankfurt	265 ms	2844 kB/s
129.146.254.39	443	TRUE	LAX	North America	Los Angeles	250 ms	2777 kB/s
152.70.155.147	443	TRUE	LAX	North America	Los Angeles	256 ms	2671 kB/s
143.47.243.144	2053	TRUE	LHR	Europe	London	238 ms	2655 kB/s
129.153.213.8	443	TRUE	LAX	North America	Los Angeles	264 ms	2652 kB/s
155.248.202.141	443	TRUE	SJC	North America	San Jose	194 ms	2610 kB/s
132.145.8.134	443	TRUE	FRA	Europe	Frankfurt	254 ms	2581 kB/s
152.70.117.136	443	TRUE	SJC	North America	San Jose	177 ms	2230 kB/s
204.216.105.106	8443	TRUE	YUL	North America	Montréal	274 ms	1926 kB/s
152.70.57.231	443	TRUE	FRA	Europe	Frankfurt	253 ms	1775 kB/s
150.230.63.93	443	TRUE	KIX	Asia Pacific	Osaka	216 ms	1138 kB/s
158.101.169.13	2053	TRUE	FRA	Europe	Frankfurt	272 ms	1120 kB/s
150.136.241.40	8443	TRUE	IAD	North America	Ashburn	249 ms	899 kB/s
146.56.157.246	443	TRUE	NRT	Asia Pacific	Tokyo	98 ms	806 kB/s
143.47.243.144	8443	TRUE	LHR	Europe	London	243 ms	697 kB/s
158.178.206.197	2053	TRUE	CDG	Europe	Paris	310 ms	521 kB/s
158.178.129.114	8443	TRUE	TLV	Middle East	Tel Aviv	272 ms	384 kB/s
140.238.195.98	443	TRUE	SYD	Oceania	Sydney	334 ms	349 kB/s
35.198.112.191	443	TRUE	FRA	Europe	Frankfurt	284 ms	307 kB/s
193.123.81.105	443	TRUE	DXB	Middle East	Dubai	192 ms	304 kB/s
192.9.182.144	443	TRUE	SYD	Oceania	Sydney	346 ms	304 kB/s
129.159.83.88	8443	TRUE	IAD	North America	Ashburn	259 ms	214 kB/s
192.9.180.162	443	TRUE	SYD	Oceania	Sydney	336 ms	185 kB/s
34.163.89.60	2053	TRUE	CDG	Europe	Paris	420 ms	176 kB/s
132.145.93.198	2083	TRUE	NRT	Asia Pacific	Tokyo	76 ms	176 kB/s
130.61.203.115	8443	TRUE	FRA	Europe	Frankfurt	264 ms	153 kB/s
129.154.50.220	443	TRUE	ICN	Asia Pacific	Seoul	154 ms	137 kB/s
129.146.248.140	443	TRUE	LAX	North America	Los Angeles	265 ms	134 kB/s
34.118.47.106	443	TRUE	FRA	Europe	Frankfurt	265 ms	124 kB/s
34.89.198.241	443	TRUE	FRA	Europe	Frankfurt	242 ms	105 kB/s
34.107.1.24	443	TRUE	FRA	Europe	Frankfurt	244 ms	105 kB/s
132.145.245.240	443	TRUE	FRA	Europe	Frankfurt	262 ms	99 kB/s
34.118.64.206	443	TRUE	FRA	Europe	Frankfurt	263 ms	93 kB/s
144.22.252.124	443	TRUE	GRU	South America	São Paulo	476 ms	89 kB/s
152.67.233.64	443	TRUE	SJC	North America	San Jose	177 ms	89 kB/s
129.159.84.71	443	TRUE	IAD	North America	Ashburn	267 ms	89 kB/s
158.178.206.197	8443	TRUE	CDG	Europe	Paris	323 ms	89 kB/s
158.180.68.56	443	TRUE	ICN	Asia Pacific	Seoul	149 ms	86 kB/s
144.24.240.193	8443	TRUE	MXP	Europe	Milan	272 ms	83 kB/s
34.116.189.98	443	TRUE	FRA	Europe	Frankfurt	258 ms	80 kB/s
34.89.238.170	443	TRUE	FRA	Europe	Frankfurt	243 ms	64 kB/s
138.3.254.39	443	TRUE	FRA	Europe	Frankfurt	262 ms	57 kB/s
132.145.54.84	8443	TRUE	LHR	Europe	London	238 ms	54 kB/s
34.118.17.76	443	TRUE	FRA	Europe	Frankfurt	272 ms	54 kB/s
152.67.231.219	443	TRUE	SJC	North America	San Jose	185 ms	51 kB/s
129.159.197.137	8443	TRUE	FRA	Europe	Frankfurt	254 ms	21 kB/s
141.147.47.32	8443	TRUE	FRA	Europe	Frankfurt	270 ms	18 kB/s
144.24.169.81	2053	TRUE	FRA	Europe	Frankfurt	270 ms	10 kB/s
144.24.173.250	2096	TRUE	FRA	Europe	Frankfurt	259 ms	7 kB/s
144.24.169.81	8443	TRUE	FRA	Europe	Frankfurt	266 ms	5 kB/s
130.61.23.77	443	TRUE	FRA	Europe	Frankfurt	275 ms	5 kB/s
130.61.109.6	2096	TRUE	FRA	Europe	Frankfurt	260 ms	4 kB/s
129.154.50.159	443	TRUE	ICN	Asia Pacific	Seoul	161 ms	0 kB/s
158.101.15.48	443	TRUE	LAX	North America	Los Angeles	256 ms	0 kB/s
130.61.239.203	443	TRUE	FRA	Europe	Frankfurt	264 ms	0 kB/s
192.18.159.129	443	TRUE	YYZ	North America	Toronto	435 ms	0 kB/s
34.123.83.237	443	TRUE	ORD	North America	Chicago	341 ms	0 kB/s
130.162.54.117	443	TRUE	FRA	Europe	Frankfurt	258 ms	0 kB/s
192.18.148.248	443	TRUE	YYZ	North America	Toronto	243 ms	0 kB/s
192.18.134.22	443	TRUE	SJC	North America	San Jose	195 ms	0 kB/s
138.2.122.191	443	TRUE	ICN	Asia Pacific	Seoul	155 ms	0 kB/s
132.145.127.203	2053	TRUE	NRT	Asia Pacific	Tokyo	158 ms	0 kB/s
158.101.98.60	2053	TRUE	IAD	North America	Ashburn	249 ms	0 kB/s
130.61.109.6	2053	TRUE	FRA	Europe	Frankfurt	273 ms	0 kB/s
140.83.61.244	443	TRUE	HKG	Asia Pacific	Hong Kong	213 ms	0 kB/s
152.70.162.164	443	TRUE	FRA	Europe	Frankfurt	253 ms	0 kB/s
34.89.209.6	443	TRUE	FRA	Europe	Frankfurt	259 ms	0 kB/s
140.238.225.218	80	TRUE	BOM	Asia Pacific	Mumbai	266 ms	0 kB/s
141.148.225.142	443	TRUE	AMS	Europe	Amsterdam	273 ms	0 kB/s
141.148.229.106	443	TRUE	AMS	Europe	Amsterdam	264 ms	0 kB/s
150.136.87.192	443	TRUE	IAD	North America	Ashburn	284 ms	0 kB/s
146.56.46.84	443	TRUE	NRT	Asia Pacific	Tokyo	69 ms	0 kB/s
130.61.239.203	2053	TRUE	FRA	Europe	Frankfurt	263 ms	0 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
140.238.19.2	443	FALSE	NRT	Asia Pacific	Tokyo	88 ms	5072 kB/s
193.123.233.143	2083	FALSE	NRT	Asia Pacific	Tokyo	68 ms	4851 kB/s
152.70.155.147	2082	FALSE	LAX	North America	Los Angeles	251 ms	3418 kB/s
146.56.133.140	2096	FALSE	NRT	Asia Pacific	Tokyo	74 ms	3081 kB/s
152.70.155.147	2086	FALSE	LAX	North America	Los Angeles	251 ms	2692 kB/s
152.70.155.147	2095	FALSE	LAX	North America	Los Angeles	269 ms	2461 kB/s
152.70.155.147	80	FALSE	LAX	North America	Los Angeles	270 ms	2282 kB/s
152.70.155.147	8880	FALSE	LAX	North America	Los Angeles	256 ms	2170 kB/s
152.70.155.147	2052	FALSE	LAX	North America	Los Angeles	253 ms	1894 kB/s
146.56.162.25	80	FALSE	ICN	Asia Pacific	Seoul	96 ms	1296 kB/s
146.56.133.140	2083	FALSE	NRT	Asia Pacific	Tokyo	93 ms	1074 kB/s
34.160.118.77	80	FALSE	LAX	North America	Los Angeles	294 ms	711 kB/s
34.93.226.165	80	FALSE	BOM	Asia Pacific	Mumbai	438 ms	205 kB/s
138.3.253.140	8080	FALSE	FRA	Europe	Frankfurt	270 ms	152 kB/s
140.238.29.117	443	FALSE	NRT	Asia Pacific	Tokyo	82 ms	90 kB/s
158.179.164.17	2052	FALSE	ICN	Asia Pacific	Seoul	154 ms	44 kB/s
152.70.155.147	8080	FALSE	LAX	North America	Los Angeles	257 ms	0 kB/s
140.83.57.116	8443	FALSE	KIX	Asia Pacific	Osaka	249 ms	0 kB/s
﻿IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
152.70.155.147	2053	TRUE	LAX	North America	Los Angeles	249 ms	7323 kB/s
35.234.126.26	443	TRUE	FRA	Europe	Frankfurt	257 ms	7287 kB/s
84.8.148.235	8443	TRUE	LHR	Europe	London	245 ms	6442 kB/s
150.230.47.17	443	TRUE	SJC	North America	San Jose	178 ms	6347 kB/s
152.70.155.147	443	TRUE	LAX	North America	Los Angeles	258 ms	5506 kB/s
152.70.155.147	8443	TRUE	LAX	North America	Los Angeles	254 ms	5023 kB/s
146.56.46.84	443	TRUE	NRT	Asia Pacific	Tokyo	73 ms	4960 kB/s
192.9.158.62	443	TRUE	SJC	North America	San Jose	182 ms	4953 kB/s
192.9.246.112	8443	TRUE	SJC	North America	San Jose	175 ms	4729 kB/s
152.67.231.219	443	TRUE	SJC	North America	San Jose	185 ms	4470 kB/s
158.101.11.22	8443	TRUE	LAX	North America	Los Angeles	255 ms	4044 kB/s
192.18.148.248	443	TRUE	YYZ	North America	Toronto	227 ms	3915 kB/s
158.101.98.60	2095	TRUE	IAD	North America	Ashburn	253 ms	3878 kB/s
129.146.254.39	443	TRUE	LAX	North America	Los Angeles	297 ms	3442 kB/s
34.116.141.181	443	TRUE	FRA	Europe	Frankfurt	260 ms	3110 kB/s
34.116.152.220	443	TRUE	FRA	Europe	Frankfurt	278 ms	3063 kB/s
129.146.248.140	443	TRUE	LAX	North America	Los Angeles	293 ms	2953 kB/s
129.153.119.97	443	TRUE	LAX	North America	Los Angeles	290 ms	2909 kB/s
141.145.205.115	8443	TRUE	CDG	Europe	Paris	260 ms	2780 kB/s
164.152.26.70	2086	TRUE	ORD	North America	Chicago	247 ms	2694 kB/s
129.153.213.8	443	TRUE	LAX	North America	Los Angeles	298 ms	2446 kB/s
152.70.155.147	2096	TRUE	LAX	North America	Los Angeles	249 ms	2355 kB/s
152.70.148.46	2053	TRUE	LAX	North America	Los Angeles	243 ms	2093 kB/s
152.70.155.147	2083	TRUE	LAX	North America	Los Angeles	248 ms	2028 kB/s
150.230.122.76	443	TRUE	LHR	Europe	London	262 ms	1942 kB/s
155.248.202.141	443	TRUE	SJC	North America	San Jose	189 ms	1890 kB/s
144.24.240.193	8443	TRUE	MXP	Europe	Milan	275 ms	1681 kB/s
129.146.46.164	443	TRUE	LAX	North America	Los Angeles	289 ms	1596 kB/s
129.153.120.171	443	TRUE	LAX	North America	Los Angeles	292 ms	1496 kB/s
152.70.57.231	443	TRUE	FRA	Europe	Frankfurt	272 ms	1494 kB/s
150.136.241.40	8443	TRUE	IAD	North America	Ashburn	250 ms	1475 kB/s
144.21.57.36	443	TRUE	FRA	Europe	Frankfurt	266 ms	1351 kB/s
34.116.211.3	443	TRUE	FRA	Europe	Frankfurt	277 ms	1324 kB/s
35.242.239.61	443	TRUE	FRA	Europe	Frankfurt	258 ms	1177 kB/s
34.89.158.25	443	TRUE	FRA	Europe	Frankfurt	254 ms	1174 kB/s
140.238.195.98	443	TRUE	SYD	Oceania	Sydney	333 ms	1062 kB/s
34.118.108.19	443	TRUE	FRA	Europe	Frankfurt	258 ms	1059 kB/s
34.118.93.116	443	TRUE	FRA	Europe	Frankfurt	272 ms	1039 kB/s
34.147.125.86	443	TRUE	FRA	Europe	Frankfurt	247 ms	1027 kB/s
34.159.248.147	443	TRUE	FRA	Europe	Frankfurt	252 ms	1004 kB/s
138.2.142.230	443	TRUE	FRA	Europe	Frankfurt	263 ms	972 kB/s
192.9.180.162	443	TRUE	SYD	Oceania	Sydney	325 ms	937 kB/s
152.70.155.147	2087	TRUE	LAX	North America	Los Angeles	257 ms	928 kB/s
34.116.189.137	443	TRUE	FRA	Europe	Frankfurt	263 ms	918 kB/s
34.107.31.245	443	TRUE	FRA	Europe	Frankfurt	249 ms	891 kB/s
89.168.118.76	443	TRUE	FRA	Europe	Frankfurt	270 ms	887 kB/s
143.47.243.144	2053	TRUE	LHR	Europe	London	244 ms	777 kB/s
34.118.64.206	443	TRUE	FRA	Europe	Frankfurt	255 ms	742 kB/s
34.89.241.178	443	TRUE	FRA	Europe	Frankfurt	259 ms	681 kB/s
132.145.8.134	443	TRUE	FRA	Europe	Frankfurt	257 ms	673 kB/s
155.248.196.123	443	TRUE	YVR	North America	Vancouver	172 ms	665 kB/s
34.116.161.88	443	TRUE	FRA	Europe	Frankfurt	277 ms	636 kB/s
130.162.54.117	443	TRUE	FRA	Europe	Frankfurt	265 ms	592 kB/s
129.159.84.71	443	TRUE	IAD	North America	Ashburn	300 ms	588 kB/s
204.216.105.106	8443	TRUE	YYZ	North America	Toronto	284 ms	543 kB/s
143.47.247.56	443	TRUE	FRA	Europe	Frankfurt	265 ms	512 kB/s
34.89.209.6	443	TRUE	FRA	Europe	Frankfurt	254 ms	467 kB/s
141.148.229.106	443	TRUE	AMS	Europe	Amsterdam	269 ms	464 kB/s
130.61.203.115	8443	TRUE	FRA	Europe	Frankfurt	256 ms	460 kB/s
34.105.3.218	443	TRUE	SEA	North America	Seattle	206 ms	457 kB/s
152.70.82.108	443	TRUE	NRT	Asia Pacific	Tokyo	227 ms	419 kB/s
34.118.67.148	443	TRUE	FRA	Europe	Frankfurt	274 ms	390 kB/s
34.91.155.132	443	TRUE	FRA	Europe	Frankfurt	245 ms	368 kB/s
34.118.46.204	443	TRUE	FRA	Europe	Frankfurt	252 ms	323 kB/s
34.65.106.25	443	TRUE	FRA	Europe	Frankfurt	246 ms	310 kB/s
138.3.254.39	443	TRUE	FRA	Europe	Frankfurt	267 ms	281 kB/s
158.180.25.74	443	TRUE	FRA	Europe	Frankfurt	282 ms	271 kB/s
34.123.83.237	443	TRUE	ORD	North America	Chicago	343 ms	221 kB/s
140.238.158.238	443	TRUE	YYZ	North America	Toronto	332 ms	182 kB/s
130.61.203.115	2053	TRUE	FRA	Europe	Frankfurt	255 ms	179 kB/s
130.61.239.203	443	TRUE	FRA	Europe	Frankfurt	277 ms	179 kB/s
129.159.197.137	8443	TRUE	FRA	Europe	Frankfurt	298 ms	176 kB/s
129.159.83.88	8443	TRUE	IAD	North America	Ashburn	290 ms	160 kB/s
146.56.157.246	443	TRUE	NRT	Asia Pacific	Tokyo	72 ms	150 kB/s
158.101.215.45	8443	TRUE	AMS	Europe	Amsterdam	252 ms	137 kB/s
129.159.47.255	443	TRUE	SJC	North America	San Jose	236 ms	131 kB/s
34.82.188.91	443	TRUE	SEA	North America	Seattle	200 ms	128 kB/s
158.101.169.13	2053	TRUE	FRA	Europe	Frankfurt	263 ms	118 kB/s
143.47.243.144	8443	TRUE	LHR	Europe	London	244 ms	109 kB/s
158.178.206.197	2053	TRUE	CDG	Europe	Paris	252 ms	99 kB/s
132.145.245.240	443	TRUE	FRA	Europe	Frankfurt	277 ms	99 kB/s
158.101.169.13	8443	TRUE	FRA	Europe	Frankfurt	267 ms	89 kB/s
140.238.158.238	8080	TRUE	YYZ	North America	Toronto	321 ms	83 kB/s
152.70.234.188	443	TRUE	NRT	Asia Pacific	Tokyo	73 ms	61 kB/s
34.163.89.60	2053	TRUE	CDG	Europe	Paris	432 ms	61 kB/s
158.101.175.51	8443	TRUE	FRA	Europe	Frankfurt	264 ms	60 kB/s
144.24.169.81	2053	TRUE	FRA	Europe	Frankfurt	267 ms	60 kB/s
144.24.173.250	2096	TRUE	FRA	Europe	Frankfurt	260 ms	57 kB/s
